NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY kész,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M) kész,TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA
Cylib,Battery recycling with proprietary end-to-end technology,Europe,Germany,Aachen,50.776351,6.083862,11.6,lithium ion batteries;recycling;circular economy;sustainable development goals;climate tech;battery;ev battery;ev battery recycling,energy,waste solution;energy storage,early growth,Speedinvest;Vsquared Ventures;Lawrence Leuschner;Kai Hansen;Torge Thönnessen;Leopold König;Maximilian Odendahl;Karim Tabet Jalbout;RWTH Aachen University;Blue Impact Ventures;World Fund;10X Founders,venture_capital;venture_capital;angel;angel;angel;angel;angel;angel;university;venture_capital;venture_capital;venture_capital,Aachen
Accure,"Improving the safety, reliability and longevity of battery systems through cloud computing",Europe,Germany,Aachen,50.7796344,6.1005005,9.57,sustainable development goals;climate tech;battery;battery management system;ev battery,energy,energy efficiency;energy storage,late growth,Capnamic Ventures;42CAP;Blue Bear Capital;MK Venture Capital;Plug and Play;Plug & Play Topeka,venture_capital;venture_capital;venture_capital;angel_fund;venture_capital;accelerator,Aachen
VOLTFANG,Develops home storage solutions for private houses using recycled traction batteries,Europe,Germany,Aachen,50.77956255,6.08226888,1.1,spinout;sustainable development goals,energy,energy storage,early growth,Antonio Mesquida Küsters;Keith Sauvant;RWTH Aachen University;AENU;Andreas Booke;David Balensiefen;Ralf Christian;Gabor Cselle,angel;angel;university;venture_capital;angel;angel;angel;angel,Aachen
Ion Kraft,Plasma technology for recyclable barrier plastic packaging,Europe,Germany,Aachen,50.787009,6.0489046,2.5,recycling;biotechnology;sustainable development goals;packaging;climate tech,energy,waste solution,seed,European Innovation Council,government,Aachen
Liftra,Development and manufacturing of specialized lifting and transportation solutions for the global wind turbine industry,Europe,Denmark,Aalborg,57.009972,9.900337,1.94,wind energy;sustainable development goals;climate tech;bluetech,energy;transportation,clean energy;logistics & delivery,late growth,European Innovation Council;Market Maturation Fund,government;venture_capital,Aalborg
Forida,Builds hybrid turbine towers for the wind industry,Europe,Denmark,Aalborg,57.048479,10.0482264,3.91,innovation management;sustainable development goals;wind energy;climate tech,energy,clean energy,early growth,VF Venture (Vækstfonden),venture_capital,Aalborg
Advanced Substrate Technologies,Develops technology for mushroom substrates,Europe,Denmark,Aarhus,56.4394387,10.1593172,1.58,biotechnology;primary production;sustainable development goals;climate tech;waste reduction,food;energy,agritech;clean energy;waste solution,seed,European Innovation Council;European Innovation Council and SMEs Executive Agency (EISMEA),government;government,Aarhus
Nordic Radar Solutions,"Focuses on developing state-of-the-art sensor-based solutions dedicated to civil aviation, wind power installations and military target scoring applications",Europe,Denmark,Aarhus,56.22035,10.28707,1.54,civil;biodiversity;sustainable development goals,energy;robotics,clean energy,seed,European Innovation Council;Eurostars SME programme,government;government,Aarhus
Ento Labs,The easiest way to optimize energy consumption in public and commercial buildings,Europe,Denmark,Aarhus,56.15302,10.20487,3.27,building energy efficiency;nordic rising star 2022;sustainable development goals;urban tech;climate tech,energy,energy efficiency,early growth,Incuba Venture;Voyager VC;Look Up Ventures,venture_capital;venture_capital;venture_capital,Aarhus
Cadel Deinking,Shares the efforts of industries to improve the quality of products with increasingly sustainable processes and methods,Europe,Spain,Alicante,38.3964181,-0.5248711,1.2,recycling;sustainable development goals;waste reduction;climate tech;circular economy;plastic pollution,energy,waste solution,early growth,European Innovation Council;Fashion For Good;MassChallenge,government;corporate;accelerator,Valencia
Blue Heart Energy,Blue Heart Energy's thermoacoustic technology improves heat pump performance. The solution makes heat pumps quiet and affordable without HFC gases and allows installation in new and existing homes,Europe,Netherlands,Alkmaar,52.6419586,4.7255951,2.47,heat pump;climate tech;sustainable development goals;spinout,energy,,early growth,TNO - Netherlands Organisation for Applied Scientific Research;European Innovation Council;European Innovation Council and SMEs Executive Agency (EISMEA),non-profit;government;government,Amsterdam
SCW Systems,Developing supercritical water gasification technology for clean energy production,Europe,Netherlands,Alkmaar,52.5970624,4.7508969,21.1,hydrogen;climate tech;sustainable development goals;novel energy;hydrogen novel energy,energy,waste solution;clean energy;water,late growth,Invest-NL,investment fund,Amsterdam
E-magy,Advanced materials company that supplies nano-porous silicon for high-energy lithium-ion batteries,Europe,Netherlands,Alkmaar,52.6774992,4.7917704,27.5,lithium ion batteries;sustainable development goals;ev battery;climate tech;novel energy;electric mobility;next-gen lithium novel energy,energy;transportation,energy storage,early growth,PDENH;SHIFT Invest;Rubio Impact Ventures;Norsk Hydro;Invest-NL;Nxtgen Hightech,venture_capital;venture_capital;venture_capital;venture_capital;investment fund;company,Amsterdam
Hygro,Enabling hydrogen from wind to wheel,Europe,Netherlands,Alkmaar,52.6419586,4.7255951,11.8,hydrogen;climate tech;sustainable development goals;wind energy,energy,energy storage;clean energy,early growth,Dutch Ministry of Economic Affairs and Climate Policy,government,Amsterdam
Leap24,Facilitates a charging network for electric vans and trucks,Europe,Netherlands,Amersfoort,52.1981869,5.3954859,19.25,climate tech;sustainable development goals;ev charging hardware;ev charging;electric mobility,energy;transportation,energy storage;clean energy,early growth,Yard Energy;Rotterdam Mobility Lab;Meewind,corporate;accelerator;investment fund,Utrecht
ANTECY,A process for production of fuels and chemicals out of ambient co2 and renewable energy,Europe,Netherlands,Amersfoort,52.177116,5.467554,2.0,solar energy;climate tech;sustainable development goals;oil & gas;carbon capture and storage;carbon utilisation,energy,clean energy;waste solution;oil & gas,seed,Generation-E;EIT InnoEnergy,venture_capital;venture_capital,Utrecht
Tiamat Energy,"A start-up that designs, develops, and produces innovative solutions for energy storage applications",Europe,France,Amiens,49.8995185,2.2991932,5.25,battery;sustainable development goals;climate tech;ev battery;stationary energy storage;novel energy;electric mobility;other chemistry novel energy;alternative battery chemistry,energy;transportation,energy storage,early growth,Finovam;Picardie Investissement;Bpifrance;European Innovation Council;Turenne Capital;CAP3Ri;Nord Capital Partenaires,venture_capital;venture_capital;venture_capital;government;venture_capital;venture_capital;venture_capital,Lille
Easyl SA,Zinc batteries are a type of rechargeable battery that uses zinc and other materials as opposed to the more commonly used lithium-ion batteries,Europe,France,Amiens,46.0728868,6.41258,2.5,sustainable development goals,energy,energy storage,early growth,European Innovation Council,government,Grenoble
Powerfield,"Develop, build and manage solar parks, charging stations and storage systems",Europe,Netherlands,Amsterdam,52.4983267,4.8123847,250.0,energy infrastructure project,energy,energy providers,early growth,EIG Global Energy Partners(EIG);Landesbank Baden Württemberg,private_equity;corporate,Amsterdam
Thorizon,Developers of an innovative Thorium Molten-Salt Reactor (MSR) design,Europe,Netherlands,Amsterdam,52.3875071,4.8417939,12.5,novel energy;nuclear fission;sustainable development goals;climate tech,energy,clean energy,seed,Positron ventures;Impuls Zeeland;Invest-NL;PDENH;Huisman Equipment,investment fund;investment fund;investment fund;venture_capital;corporate,Amsterdam
Madaster,Gives materials an identity through a Material Passport,Europe,Netherlands,Amsterdam,52.2628294,5.2027028,3.51,identity management;sustainable development goals;climate tech,real estate;energy,construction;waste solution,seed,European Innovation Council,government,Utrecht
Ogre AI,An automated B2B platform which uses machine learning to offer financial and operational decision-making support to energy and utilities companies,Europe,Netherlands,Amsterdam,52.396766,4.877866,2.0,business management;utilities;sustainable development goals;solar energy;business intelligence;climate tech;business analytics;wind energy,energy;enterprise software,water;clean energy;energy providers;energy efficiency,seed,Early Game Ventures;MMC Ventures,venture_capital;venture_capital,Amsterdam
Sunchem,Sunchem is an industrial research and develop company operating in the sector of genetic applied to plant for energy purposes,Europe,Netherlands,Amsterdam,52.3679843,4.9035614,1.17,biofuel;sustainable development goals;climate tech,energy,clean energy,seed,European Innovation Council,government,Amsterdam
De Windcentrale,Accelerates the switch to sustainable energy in the Netherlands by setting up cooperatives that own wind turbines,Europe,Netherlands,Amsterdam,52.371153,4.8790104,2.9,crowdfunding;sustainable development goals;climate tech;wind energy;startupamsterdam,fintech;energy,clean energy;wealth management,seed,Ponooc,"family_office,venture_capital",Amsterdam
YellowPallet,Transforms banana stems into transport pallets,Europe,Netherlands,Amsterdam,52.3873878,4.6462194,1.3,food waste;sustainable development goals;climate tech,energy,waste solution,seed,StartLife;Pomona Impact;EIT Climate-KIC,"advisor,incubator;venture_capital;accelerator",Amsterdam
Urchinomics,Removes overgrazing sea urchins which helps turn a barren seafloor back into a vibrant kelp forest,Europe,Netherlands,Amsterdam,52.4574236,4.6111981,5.25,carbon capture and storage;blue economy;sustainable development goals;climate tech;biodiversity;bluetech;seaweed,energy,,seed,Unreasonable Group;ENEOS Holdings;Builders Vision;Cadman Capital;Startupbootcamp Australia;ENEOS Innovation Partners,"corporate;corporate;accelerator;private_equity,venture_capital;accelerator;venture_capital",Amsterdam
ETPA,Offering an independent trading platform with an open order book for continuous short term electricity trading,Europe,Netherlands,Amsterdam,52.36994,4.90788,5.0,sustainable development goals;climate tech;energy trading;smart grid,energy,energy efficiency,early growth,ABN AMRO Ventures;SET Ventures,corporate_venture_fund;venture_capital,Amsterdam
Woon Duurzaam,An innovative one-stop-shop cloud platform that brings the customer clarity in the business of home renovation,Europe,Netherlands,Amsterdam,52.3950898,4.9095771,3.2,sustainable development goals;climate tech,real estate;energy,clean energy;energy storage;energy efficiency,early growth,EIT InnoEnergy;Rabobank;DOEN Participaties;The Sharing Group;ROM InWest;Oneplanetcrowd,venture_capital;corporate;venture_capital;corporate;investment fund;crowdfunding,Amsterdam
Lumos,"Clean, affordable solar power to a market of 1.3 billion potential customers who live off the electricity grid.",Europe,Netherlands,Amsterdam,52.353453,4.8635838,104.55,solar energy;sustainable development goals;off-grid;climate tech,energy,energy providers;clean energy,late growth,OPIC;Pembani Remgro;Federal Government Of Nigeria;MoreVC,government & non-profit;venture_capital;government;venture_capital,Amsterdam
Maxem Energy Solutions,Combination of hardware and cloud solutions to install e-mobility and sustainable energy at scale,Europe,Netherlands,Amsterdam,52.3947977,4.8464811,1.01,sustainable development goals;climate tech,energy;transportation,mobility;energy efficiency;energy providers,early growth,UtrechtInc;Ready To Scale,accelerator;accelerator,Amsterdam
WakaWaka,"WakaWaka develops, engineers, manufactures and markets lighting and phone charging product concepts",Europe,Netherlands,Amsterdam,52.3808387,4.6279844,3.79,solar energy;social entrepreneurship;sustainable development goals;luxury;retail;climate tech,energy,clean energy,early growth,Oneplanetcrowd,crowdfunding,Amsterdam
Check Technologies,"Search, find and book the nearest scooter in your area",Europe,Netherlands,Amsterdam,52.3675734,4.9041389,10.0,sustainable development goals;ev charging;electric mobility,energy;transportation,mobility,late growth,Ponooc;Slingshot Ventures,"family_office,venture_capital;venture_capital",Amsterdam
Avantium Technologies,"Provides high-throughput RandD technologies for applications in the energy, chemicals and pharmaceutical industries",Europe,Netherlands,Amsterdam,52.3959411,4.8522245,234.92,biofuel;biotechnology;chemistry;sustainable development goals;chemical;biopolymers;industrial technology;advanced materials;innovative material tech;polymers and polymer alternatives;chemical technology;climate tech,health;energy,pharmaceutical,late growth,Capricorn Partners;Aster Capital;ING Bank Corporate Finance;Aescap;Navitas Capital;Sofinnova Partners;Danone;PMV;De Hoge Dennen Capital;ALPLA;FPIM;Eurostars SME programme;European Innovation Council;Thuja Capital;Horizon 2020 FTI (Fast Track to Innovation);Molten Ventures (Formerly Draper Esprit);Signet Healthcare Partners;SFPI-FPIM;Quest for Growth;Eindhoven University of Technology (TU/e);Invest-NL;ABN AMRO;Rabobank;ING Group;ASN Bank,venture_capital;venture_capital;advisor;venture_capital;venture_capital;venture_capital;corporate;venture_capital;private_equity;corporate;corporate;government;government;venture_capital;government;venture_capital;venture_capital;venture_capital;venture_capital;university;investment fund;corporate;corporate;corporate;venture_capital,Amsterdam
econic,"Makes home more sustainable for a fixed low amount per month, without hassle",Europe,Netherlands,Amsterdam,52.385335,4.9267206,40.0,green buildings;building energy efficiency;urban tech;sustainable development goals;climate tech;residential solar;solar energy;heat pump;esco,energy;home living,energy efficiency,late growth,DutchBasecamp;Rinkelberg Capital;Rabobank;Meewind;Triodos Bank;A.S.R. Asset Management,non-profit;corporate;corporate;investment fund;corporate;venture_capital,Amsterdam
Zola Electric (formerly Off Grid Electric),"Powering off-grid homes across Africa with affordable, renewable energy",Europe,Netherlands,Amsterdam,52.3875664,4.8418842,143.64,startupamsterdam;sustainable development goals;off-grid;climate tech,energy,clean energy,late growth,Electranova Capital;Omidyar Network;Cercano Management (Formerly Vulcan);Zouk Capital;Helios Investment Partners;Aster Capital;GE Ventures;DBL Partners;Tesla Motors;TotalEnergies Carbon Neutrality Ventures;SunFunder;Électricité de France (EDF group);Eurazeo;TotalEnergies;Lyndon Rive;Peter Rive;FMO Entrepreneurial Development Bank;DBL Partners;Symbiotics Group;Unreasonable Group;Eurazeo Investment Manager,"corporate_venture_fund;corporate_venture_fund,family_office,venture_capital;private_equity,venture_capital;advisor,private_equity;private_equity,venture_capital;venture_capital;corporate_venture_fund;venture_capital;corporate;corporate_venture_fund;corporate;corporate;private_equity,venture_capital;corporate;angel;angel;corporate;venture_capital;investment fund;corporate;private_equity",Amsterdam
Greener Power Solutions,Provides mobile battery energy storage solutions,Europe,Netherlands,Amsterdam,52.3882917,4.8263478,47.5,climate tech;sustainable development goals;lithium ion batteries;electric mobility;ev charging;ev charging hardware;stationary energy storage;battery,real estate;energy,construction;energy storage,early growth,DutchBasecamp;Alfen Beheer BV;DIF,non-profit;corporate;venture_capital,Amsterdam
Sympower,Powering Change Together,Europe,Netherlands,Amsterdam,52.3708121,4.8832089,36.49,appliances;smart grid;sustainable development goals;industrial technology;climate tech;b corp;startupamsterdam,energy,clean energy;energy providers;energy efficiency;energy storage,late growth,Rockstart;Rubio Impact Ventures;PDENH;Kees Koolen;Enfuro Ventures;Casper Peeters;EIT Climate-KIC;Plug and Play;Prototron;Plug & Play Topeka;Expon Capital;Activate Capital Partners;European Innovation Council;Activate Capital;European Innovation Council and SMEs Executive Agency (EISMEA),accelerator;venture_capital;venture_capital;angel;venture_capital;angel;accelerator;venture_capital;accelerator;accelerator;venture_capital;venture_capital;government;venture_capital;government,Amsterdam
Fastned,Fast car charging along the highway,Europe,Netherlands,Amsterdam,52.344241,4.912444,75.0,automotive;verified unicorns and $1b exits;car;sustainable development goals;ev charging;ev charging hardware;post ipo $1b;electric mobility;ev charging infrastructure;startupamsterdam,energy;transportation,mobility,late growth,Schroders Capital,venture_capital,Amsterdam
Quatt,Designs AI-powered smart hybrid heat pumps to accelerate the decrease of gas consumption,Europe,Netherlands,Amsterdam,52.355413,4.8407333,2.27,heat pump;building energy efficiency;green buildings;sustainable development goals;climate tech;urban tech,energy;home living,energy efficiency,late growth,Impact Equity Fund;Siep van der Valk,venture_capital;angel,Amsterdam
